Крок	x1		x2		Phi(X)
145	0.844434	0.713623	0.0242317040
146	0.844556	0.713379	0.0241640365
147	0.844922	0.713135	0.0241067130
148	0.845044	0.713379	0.0240632712
149	0.845410	0.714111	0.0239348652
150	0.846265	0.715820	0.0236463605
151	0.848096	0.719238	0.0230749940
152	0.851880	0.725830	0.0219412785
153	0.859570	0.738770	0.0197213360
154	0.874829	0.764893	0.0156865355
155	0.905225	0.817383	0.0094021250
156	0.905103	0.817627	0.0092563238
157	0.904736	0.818359	0.0090787185
158	0.904858	0.818604	0.0090546536
159	0.905225	0.819336	0.0089832897
160	0.906079	0.821045	0.0088215653
161	0.907910	0.824219	0.0084812134
162	0.911572	0.830811	0.0078218189
163	0.918896	0.844238	0.0065795350
164	0.933545	0.871338	0.0044191076
165	0.962720	0.925781	0.0014996538
166	0.962598	0.926025	0.0014312952
167	0.962476	0.926270	0.0014088867
168	0.962537	0.926514	0.0014036411
169	0.962720	0.926758	0.0013903294
170	0.963025	0.927490	0.0013676947
171	0.963696	0.928711	0.0013179594
172	0.965039	0.931396	0.0012231905
173	0.967786	0.936523	0.0010384977
174	0.973218	0.947021	0.0007190129
175	0.984021	0.968262	0.0002554553
176	1.005566	1.010986	0.0000341344
177	1.005505	1.011047	0.0000303131
178	1.005490	1.010986	0.0000301991
179	1.005444	1.010925	0.0000296457
180	1.005368	1.010742	0.0000288675
181	1.005200	1.010437	0.0000270512
182	1.004880	1.009766	0.0000238434
183	1.004224	1.008484	0.0000178744
184	1.002927	1.005859	0.0000085658
185	1.000317	1.000610	0.0000001608
186	1.000302	1.000610	0.0000000949
187	1.000302	1.000603	0.0000000915
